ARTICLES ID, Document Type
Digital Child Health [Live] [ID=964],Service
Information Governance Alliance (IGA) [Live] [ID=967],Hub
NHS WiFi [Live] [ID=1001],Service
Board membership  [Live] [ID=1003],Hub
What we do [Live] [ID=1006],Hub
IGA events [Live] [ID=1028],Hub
Information governance resources [Live] [ID=1033],Hub
Message Exchange for Social Care and Health (MESH) [Live] [ID=1040],Service
Summary Care Record (SCR) in community pharmacy [Live] [ID=1116],Hub
SNOMED CT [Live] [ID=1146],Service
SCR governance person (SGP) for SCR in community pharmacies [Live] [ID=1187],Hub
Records Management Code of Practice for Health and Social Care 2016 [Live] [ID=1202],
How we support diversity and inclusion [Live] [ID=1210],Hub
Independent Group Advising on the Release of Data [Live] [ID=1245],Service
New resource consultations [Live] [ID=1293],Hub
CP-IS map test page [Live] [ID=1334],Hub
The Integrated Care domain [Live] [ID=1348],Hub
The Urgent and Emergency Care domain [Live] [ID=1349],Hub
Self Care and Prevention (domain A) [Live] [ID=1368],Hub
Urgent and Emergency Care (domain B) [Live] [ID=1369],Hub
Transforming general practice (domain C) [Live] [ID=1370],Hub
Integrated Care (domain D) [Live] [ID=1371],Hub
Digital medicines (domain E) [Live] [ID=1372],Hub
Elective care (domain F) [Live] [ID=1373],Hub
Paper free at point of care (domain G) [Live] [ID=1374],Hub
Data outcomes for research and oversight (domain H) [Live] [ID=1375],Hub
Infrastructure (domain I) [Live] [ID=1376],Hub
Public trust and security (domain J)  [Live] [ID=1377],Hub
Widening Digital Participation [Live] [ID=1384],Hub
News bulletins [Live] [ID=1402],Hub
About our services  [Live] [ID=1403],Hub
Data provision notices (DPNs) [Live] [ID=1408],Hub
National Data Opt-out Programme [Live] [ID=1418],Service
Data and cyber security: protecting information and data in health and care  [Live] [ID=1496],Service
Freedom of Information disclosure log January 2017  [Live] [ID=1542],Hub
The Integrated Care domain [Work in progress] [ID=2780],Hub
Freedom of Information disclosure log February 2017  [Live] [ID=6746],Hub
Health Surveys Service [Live] [ID=6747],Service
Health Survey for England Bloodbank [Live] [ID=6748],Service
Secretary of State Directions [Live] [ID=6863],Hub
Events [Live] [ID=6870],Hub
Summary Hospital-level Mortality Indicator  [Live] [ID=6886],Hub
Executive board members  [Live] [ID=6906],Hub
Non-executive board members  [Live] [ID=6907],Hub
Freedom of Information disclosure log March 2017 [Live] [ID=6917],Hub
Data services for commissioners [Work in progress] [ID=6980],Service
NHS Digital annual report and accounts 2016 to 2017 [Live] [ID=7049],Hub
Ex Officio Board members  [Live] [ID=7137],Hub
Clinical leadership [Live] [ID=7216],Service
NHS e-Referral Service [Live] [ID=7224],Service
our executive leadership team  [Live] [ID=7294],Hub
Earlier publications calendars  [Live] [ID=7295],Hub
Adoption Registration Service [Live] [ID=7296],Service
Publications calendar 2005 - 2006  [Live] [ID=7333],Hub
Publications calendar 2006 - 2007  [Live] [ID=7334],Hub
NHS WiFi in GP practices [Live] [ID=7366],Hub
NHS WiFi in secondary care [Live] [ID=7367],Hub
Female Genital Mutilation Risk Indication System (FGM RIS) [Live] [ID=7384],Service
Publications calendar 2007 - 2008  [Live] [ID=7397],Hub
Publications calendar 2008 - 2009  [Live] [ID=7410],Hub
Freedom of Information disclosure log April 2017 [Live] [ID=7425],Hub
iView and iViewPlus [Live] [ID=7503],Service
Publications calendar 2009 - 2010 [Live] [ID=7513],Hub
Emergency Care Data Set (ECDS) [Live] [ID=7602],Hub
General Practice Extraction Service [Live] [ID=7607],Service
Practice Level Prescribing in England: a summary [Live] [ID=7613],Hub
Freedom of Information disclosure log May 2017 [Live] [ID=7618],Hub
Directory of services (DoS) [Live] [ID=7698],Hub
Innovative Uses of Data [Live] [ID=7706],Hub
NHS Digital data innovation lab [Live] [ID=7708],Hub
Domains [Live] [ID=7772],Hub
Data issue [Live] [ID=7779],Hub
Cyber security issue [Live] [ID=7783],Hub
IT system issue [Live] [ID=7784],Hub
About NHS Digital [Live] [ID=7797],Hub
Our work [Live] [ID=7799],Hub
Our role and remit in the health service  [Live] [ID=7801],Hub
National Casemix Office [Live] [ID=7807],Service
EHI Live - Birmingham NEC [Live] [ID=7814],Hub
Our leadership and governance [Live] [ID=7888],Hub
NHS Digital Board [Live] [ID=7889],Hub
Areas of interest [Live] [ID=7934],Hub
National Child Measurement Programme [Live] [ID=7938],Service
Geographical resources [Live] [ID=7941],Service
Adult Dental Health Survey [Live] [ID=7943],Hub
What About Youth study [Live] [ID=7954],Hub
Prescribing [Live] [ID=7957],Hub
Primary care  [Live] [ID=7959],Hub
Research Advisory Group [Live] [ID=7960],Service
Schedule of future publications [Live] [ID=7966],Hub
Emergency Care Data Set (ECDS) feedback  [Live] [ID=7995],Hub
Freedom of Information disclosure log June 2017 [Live] [ID=8034],Hub
National Diabetes Audit and Diabetes Prevention Programme (NDA-DPP) pilot study  [Live] [ID=8046],Hub
NHS England Directions  [Live] [ID=8059],Hub
Mandatory requests from Monitor  [Live] [ID=8060],Hub
Freedom of Information disclosure log July 2017 [Live] [ID=8162],Hub
Mandatory requests from the National Institute for Health and Care Excellence (NICE) [Live] [ID=8168],Hub
Quality and Outcomes Framework (QOF)  [Live] [ID=8274],Hub
Calculating Quality Reporting Service [Live] [ID=8280],Service
HSCN IP address management [Live] [ID=8282],Hub
" Enhanced Services (ES), Vaccination and Immunisation (V and I) and core contract components 2016-2017 [Live] [ID=8288]",Hub
 Quality and Outcomes Framework QOF business rules v37.0 [Live] [ID=8305],Hub
 Quality and Outcomes Framework QOF business rules v36.0 [Live] [ID=8331],Hub
2016 news archive [Live] [ID=8342],Hub
Demand - test page [Live] [ID=8367],Hub
Quality Outcomes and Framework QOF publications  [Live] [ID=8378],Hub
" Fit Notes Issued by GP Practices, England  [Live] [ID=8382]",Hub
Care Information Choices [Live] [ID=8385],Hub
Learning disabilities health check scheme [Live] [ID=8391],Hub
Recorded dementia diagnoses [Live] [ID=8412],Hub
" Quality Outcomes Framework (QOF) Recorded Dementia Diagnoses, 2017-18 [Live] [ID=8414]",Hub
" Quality Outcomes Framework (QOF) Recorded Dementia Diagnoses, 2016-17 [Live] [ID=8416]",Hub
" Quality Outcomes Framework (QOF) Recorded Dementia Diagnoses, 2015-16 [Live] [ID=8417]",Hub
2018 Supplementary information files [Live] [ID=8420],Hub
 Number of Patients Registered at a GP Practice [Live] [ID=8423],Hub
Health and care of people with learning disabilities [Live] [ID=8425],Hub
 Smoking Status at Time of Delivery (SATOD) data collection  [Live] [ID=8429],Hub
 Friends and Family Test (FFT) data collection  [Live] [ID=8430],Hub
Quarterly wheelchair data collection  [Live] [ID=8447],Hub
Transformation Indicator Return (TIR) [Live] [ID=8448],Hub
Venous Thromboembolism (VTE) Risk Assessment Collection  [Live] [ID=8449],Hub
Why is a new data set for emergency care required?  [Live] [ID=8451],Hub
2017 news archive [Live] [ID=8465],Hub
News archive [Live] [ID=8466],Hub
Transfer of Care Outpatient clinic letter  [Live] [ID=8473],Hub
Mandatory requests from NHS Improvement  [Live] [ID=8493],Hub
Lifestyles [Work in progress] [ID=10460],Hub
Sexual and Reproductive Health Activity Data Set (SRHAD) Collection [Work in progress] [ID=12587],Hub
Social care collection materials 2019 [Work in progress] [ID=12690],Hub
" Quality Outcomes Framework (QOF) Recorded Dementia Diagnoses, 2017-18 [Work in progress] [ID=12760]",Hub
NHS WiFi in secondary care [Scheduled Replacement] [ID=13058],Hub
